924,1375,316,184,924,764,924,829,924,823,924,833,924,1297,316,125,924,275,924,824
137,257,137,47,137,401,137,214,137,489,137,213,137,402,137,330,137,184,137,126
75,803,365,283,134,113,125,498,217,568,811,213,811,461,217,577,985,335,374,374
899,73,899,841,172,897,339,15,956,1204,956,638,956,637,899,429,899,797,422,1204
153,1190,153,1173,153,42,499,635,499,1107,499,82,499,636,499,964,153,440,153,681
382,1031,669,65,287,81,287,83,287,300,287,447,287,692,382,141,853,164,287,444
295,216,295,776,295,4,295,500,295,173,295,283,295,375,295,280,295,179,295,360
632,340,320,701,89,205,822,1459,28,693,89,792,89,485,224,765,89,88,262,751
827,383,994,436,827,752,827,1234,906,333,827,155,341,4,827,156,827,1420,827,159
900,925,860,837,890,408,860,1556,204,872,683,679,860,853,860,901,492,1406,860,1037
131,1289,131,1785,382,862,131,1288,87,387,131,1287,847,625,382,1485,920,544,220,138
548,368,548,290,892,144,548,372,892,85,548,289,548,367,173,463,892,405,892,189
770,956,770,331,770,362,770,93,770,767,770,1303,770,374,770,105,730,1080,770,954
732,990,732,671,732,989,732,1371,732,1372,732,1745,732,2057,732,465,732,900,732,36
976,71,725,71,976,75,575,97,575,87,523,108,312,135,725,318,760,648,267,111
422,490,422,471,422,489,422,1393,422,1580,422,811,569,95,569,154,569,97,569,158
960,1884,815,677,815,743,596,662,774,56,752,307,774,625,752,1143,484,937,774,657
252,287,586,851,252,300,320,515,320,355,252,286,586,445,864,180,252,285,252,364
727,813,727,386,255,1080,255,796,980,694,255,1079,980,182,255,963,980,29,727,647
297,560,297,279,297,555,297,487,297,559,297,524,297,358,99,501,297,246,297,421
771,931,172,1022,172,292,836,2221,859,2261,771,778,167,1229,172,291,328,303,896,291
916,70,916,71,916,68,916,1586,916,1587,129,942,916,69,916,1260,916,1262,916,1161
295,463,557,388,557,653,557,851,122,445,546,423,725,939,139,351,295,239,557,505
97,273,97,73,97,403,512,186,97,72,512,46,97,458,97,404,97,165,512,761
839,62,839,64,831,666,839,35,504,638,929,1045,839,196,839,56,839,36,929,1044
900,1097,448,164,822,374,141,378,110,230,149,1055,390,370,141,207,107,250,390,19
333,621,333,1859,333,2219,333,1938,333,2221,333,1862,333,2445,333,1222,333,2222,333,1184
544,1183,541,400,634,255,802,1252,913,1346,908,1436,986,1202,347,35,75,425,913,269
691,588,691,515,691,468,691,479,691,341,691,169,691,168,691,546,691,339,691,203
28,1112,28,952,28,141,28,1114,28,142,28,139,28,953,28,137,28,140,561,474
220,63,933,1059,933,190,361,243,240,626,933,36,933,1061,361,153,933,85,933,229
70,495,467,698,70,493,292,554,262,1565,485,98,645,655,311,667,70,503,347,25
807,683,807,318,807,652,807,320,807,605,807,131,807,426,807,159,807,267,807,628
65,925,65,1161,65,975,65,1162,65,1163,65,1064,65,520,63,687,65,1487,65,1172
987,719,987,18,987,14,987,720,193,434,987,721,252,929,857,87,252,275,857,582
303,303,303,8,303,535,303,145,884,402,303,1322,884,362,303,5,303,9,884,109
275,1344,452,487,452,489,452,150,82,764,452,488,241,739,452,585,678,1272,678,1273
676,1171,676,171,676,1172,943,467,676,154,676,702,676,1169,943,408,943,123,426,148
822,144,990,421,557,151,123,122,840,84,366,79,128,650,763,111,940,536,975,487
748,438,507,138,858,25,748,844,62,72,902,1018,748,326,645,648,512,867,748,573
296,540,296,323,595,1310,595,1309,595,1947,455,69,595,466,595,1946,595,597,799,640
205,904,979,642,459,592,979,521,817,708,778,295,100,1172,817,1041,109,627,100,592
620,1449,838,120,620,1946,945,359,620,2012,205,289,205,288,620,1941,620,807,620,762
396,257,396,256,396,28,396,501,396,943,396,307,396,304,396,305,396,302,396,844
363,368,357,266,270,565,900,1645,443,56,896,29,985,285,61,330,896,372,192,1514
719,110,984,638,456,260,217,65,809,2472,217,190,210,416,984,640,210,432,441,199
942,681,963,1030,104,495,862,810,104,496,921,1547,104,966,104,224,820,87,963,1103
413,454,413,427,413,140,413,968,413,426,413,1146,413,1148,413,456,413,120,413,1143
694,260,112,983,112,389,112,984,112,1116,112,982,112,509,112,981,112,905,112,1117
236,377,236,905,33,274,659,1011,702,84,236,940,336,395,236,376,219,665,659,931
929,935,929,45,839,36,929,1391,831,667,839,34,831,666,839,32,839,35,504,970
277,121,277,120,990,72,277,122,117,416,682,1361,529,255,812,795,277,239,517,1205
749,1071,749,1070,749,201,749,313,749,516,749,1158,382,262,382,1089,749,203,749,312
841,580,841,178,841,658,841,578,841,577,841,804,946,75,946,696,946,315,946,74
849,1015,749,1243,173,390,749,1244,548,603,749,801,749,1245,173,684,173,716,173,1257
288,772,179,525,524,540,524,620,524,617,524,618,179,552,179,590,915,515,323,176
15,877,291,47,291,667,985,560,811,417,291,33,291,34,561,363,291,277,291,368
